ID_caperpin;Title;Client_type;Age;Flag_e-mail_deposited;Flag_mobile_deposited;Number_contractual_relationships;Customer_for_years;Minimum_contract_term;Maximum_contract_term;Credit_rating_score;Credit_rating_traffic_light;Total_consumption;Open_item_amount;Flag_advertising_permission_e-mail;Flag_advertising_permission_post;Flag_advertising_permission_telephone;OptIn_data_protection_regulations;OptIn_newsletter;Vorteilswelt_customer_since;Factor_subsequent_payment;Flag_invoice_shock;Flag_cancellation;Sum_contribution_margin_2
3035771;Firma;J;-;0;0;73;1;30.09.2018;31.12.2019;-;-;64892348,751917;1134,47;0;0;0;-;-;-;-;0;1;17518,09157901
3035771;Firma;J;-;0;0;73;1;30.09.2018;31.12.2019;-;-;64892348,751917;1149,64;0;0;0;-;-;-;-;0;1;17518,09157901
3035771;Firma;J;-;0;0;73;1;30.09.2018;31.12.2019;-;-;64892348,751917;1645,96;0;0;0;-;-;-;-;0;1;17518,09157901
3035771;Firma;J;-;0;0;73;1;30.09.2018;31.12.2019;-;-;64892348,751917;1755,4;0;0;0;-;-;-;-;0;1;17518,09157901
3035771;Firma;J;-;0;0;73;1;30.09.2018;31.12.2019;-;-;64892348,751917;1777,99;0;0;0;-;-;-;-;0;1;17518,09157901
3035771;Firma;J;-;0;0;73;1;30.09.2018;31.12.2019;-;-;64892348,751917;1995,42;0;0;0;-;-;-;-;0;1;17518,09157901
3035771;Firma;J;-;0;0;73;1;30.09.2018;31.12.2019;-;-;64892348,751917;2005,5;0;0;0;-;-;-;-;0;1;17518,09157901
3035771;Firma;J;-;0;0;73;1;30.09.2018;31.12.2019;-;-;64892348,751917;2102,36;0;0;0;-;-;-;-;0;1;17518,09157901
3035771;Firma;J;-;0;0;73;1;30.09.2018;31.12.2019;-;-;64892348,751917;2324,65;0;0;0;-;-;-;-;0;1;17518,09157901
3035771;Firma;J;-;0;0;73;1;30.09.2018;31.12.2019;-;-;64892348,751917;2426,02;0;0;0;-;-;-;-;0;1;17518,09157901
3035771;Firma;J;-;0;0;73;1;30.09.2018;31.12.2019;-;-;64892348,751917;2440,57;0;0;0;-;-;-;-;0;1;17518,09157901
