ID_caperpin;Title;Client_type;Age;Flag_e-mail_deposited;Flag_mobile_deposited;Number_contractual_relationships;Customer_for_years;Minimum_contract_term;Maximum_contract_term;Credit_rating_score;Credit_rating_traffic_light;Total_consumption;Open_item_amount;Flag_advertising_permission_e-mail;Flag_advertising_permission_post;Flag_advertising_permission_telephone;OptIn_data_protection_regulations;OptIn_newsletter;Vorteilswelt_customer_since;Factor_subsequent_payment;Flag_invoice_shock;Flag_cancellation;Sum_contribution_margin_2
3042520;Frau und Herrn;N;24;0;0;2;2;-;-;-;-;18977,659;-;0;0;0;-;-;-;-1;0;0;244,07935223
3042546;Herrn;N;27;0;1;2;1;-;-;-;-;23565,21;-;0;0;0;-;-;-;-1;0;0;242,3718657
3042579;Herrn;N;56;1;0;2;1;-;-;-;-;53106,535;-;0;0;0;-;-;-;-1;0;0;166,52061485
3042587;Frau;N;29;0;1;1;2;-;-;-;-;701;-;0;0;0;-;-;-;1,431111111;1;0;41,71009
3042603;Herrn;N;-;0;0;2;2;-;-;-;-;7595;-;0;0;0;-;-;-;-1;0;0;207,41651
3042611;Herrn;N;36;0;1;1;2;-;-;-;-;1554,2;-;0;0;0;1;0;23.12.2018;-1,10875;0;0;73,355278
3042660;Herrn;N;50;0;1;1;2;-;-;-;-;664,1;-;0;0;0;-;-;-;-11,11333333;0;0;40,341469
3042777;Herrn;N;26;0;1;2;2;-;-;-;-;20261,8;2,5;0;0;0;-;-;-;-0,865048077;0;0;266,368962
3042777;Herrn;N;26;0;1;2;2;-;-;-;-;20261,8;136,57;0;0;0;-;-;-;-0,865048077;0;0;266,368962
3042868;Eigentümergemeinschaft;N;-;0;0;1;2;-;-;-;-;29695;-;0;0;0;-;-;-;-1,933350515;0;0;213,55915
3042975;Frau und Herrn;N;58;0;0;2;2;-;-;-;-;3867,825;-;0;0;0;-;-;-;-9,718222222;0;0;63,0250165
3043114;Frau;N;24;0;0;2;2;-;-;-;-;1649,383;-;0;0;0;-;-;-;-2,058717949;0;0;64,65712546
3043122;Herrn und Frau;N;34;0;1;1;2;-;-;-;-;1331,5;-;0;0;0;-;-;-;-3,287954545;0;0;65,095335
3043197;Frau und Herrn;N;41;0;1;3;2;12.06.2018;12.06.2018;-;-;35045;-;0;0;0;-;-;-;-1;0;0;352,25951
3043205;Firma;J;-;0;1;1;2;-;-;-;-;6521;-;0;0;0;-;-;-;-1;0;0;281,99189
3043213;Frau;N;41;1;1;3;2;-;-;-;-;33366,865;-;0;0;0;-;-;-;-1,232810651;0;0;103,42785
3043239;Frau;N;52;0;0;1;2;30.06.2018;30.06.2018;-;-;10010,7;-;0;0;0;-;-;-;-2,1745;0;1;159,383123
3043254;Herrn;N;32;0;0;1;0;31.03.2018;30.09.2019;-;-;97422,272;1;0;0;0;-;-;-;4,618431373;1;1;1218,13493984
3043254;Herrn;N;32;0;0;1;0;31.03.2018;30.09.2019;-;-;97422,272;2,5;0;0;0;-;-;-;4,618431373;1;1;1218,13493984
3043254;Herrn;N;32;0;0;1;0;31.03.2018;30.09.2019;-;-;97422,272;26,23;0;0;0;-;-;-;4,618431373;1;1;1218,13493984
3043254;Herrn;N;32;0;0;1;0;31.03.2018;30.09.2019;-;-;97422,272;51;0;0;0;-;-;-;4,618431373;1;1;1218,13493984
3043262;Herrn;N;44;0;1;2;0;31.01.2019;31.01.2019;-;-;19727,9;-;0;0;0;-;-;-;-1;0;1;409,659691
3043270;Herrn;N;69;1;1;1;2;-;-;-;-;2723;-;0;0;0;-;-;-;1,186578947;1;0;57,22757
3043288;Frau;N;35;0;0;1;2;-;-;-;-;1158,3;-;0;0;0;-;-;-;-1;0;0;58,671347
3043296;Firma;J;-;0;0;3;2;06.02.2018;29.04.2019;-;-;110440,682;-;0;0;0;-;-;-;-0,695493107;0;1;599,47202538
3043304;Frau;N;33;0;1;1;0;02.11.2018;02.11.2018;-;-;652,4;-;0;0;0;-;-;-;-1,4925;0;1;55,617516
3043361;Frau;N;63;0;0;2;2;-;-;-;-;7571;-;0;0;0;-;-;-;-1,424054054;0;0;179,64628
3043387;Firma;N;-;0;0;2;2;-;-;-;-;5809,093;-;0;0;0;-;-;-;-2,86;0;0;111,08341666
3043403;Frau;N;72;0;0;1;2;-;-;-;-;28345,877;-;0;0;0;-;-;-;-1,840432432;0;0;205,50488569
3043445;Herrn;N;29;0;1;2;1;-;-;-;-;1814,43;-;0;0;0;-;-;-;-2,6388;0;0;39,786684
3043452;Firma;J;-;1;0;6;1;31.12.2019;31.12.2019;-;-;223762,99941667;-;0;0;0;-;-;-;0,770726257;1;1;150,66855639444
3043460;Herrn;N;53;0;1;1;1;-;-;-;-;279,6;-;0;0;0;-;-;-;-1;0;0;26,080364
3043478;Herrn;N;32;0;1;1;2;-;-;-;-;10427,886;-;0;0;0;1;1;24.11.2018;-10,54933333;0;0;103,50755302
3043486;Frau;N;52;1;1;2;2;-;-;-;-;22413,376;-;0;0;0;-;-;-;-1;0;0;225,42531584
3043551;Frau und Herrn;N;29;0;0;1;2;-;-;-;-;1805;-;0;0;0;-;-;-;-1;0;0;53,50995
3043569;Herrn;N;64;0;0;1;1;-;-;-;-;349,4;-;0;0;0;-;-;-;-20,42944444;0;0;28,669246
3043619;Herrn;N;41;0;1;1;2;-;-;-;-;755;-;0;0;0;-;-;-;-1,009642857;0;0;43,71295
3043635;Herrn und Herrn;N;31;0;1;2;2;-;-;-;-;15694,363;-;0;0;0;-;-;-;1,159148936;1;0;178,65224411
3043650;Herrn;N;24;0;1;2;2;-;-;-;-;9246,471;-;0;0;0;-;-;-;-1,654137931;0;0;133,53646147
3043668;Frau;N;59;0;0;1;1;-;-;-;-;90,2;-;0;0;0;-;-;-;-8,9304;0;0;15,023298
3043676;Frau und Herrn;N;32;0;1;1;1;-;-;-;-;401;-;0;0;0;-;-;-;-6,114666667;0;0;30,58309
3043700;Frau;N;54;0;0;1;2;-;-;-;-;715;-;0;0;0;-;-;-;-1;0;0;42,22935
3043726;Herrn;N;52;1;1;1;1;-;-;-;-;4081;-;0;0;0;-;-;-;-2,911145038;0;0;156,53229
3043759;-;N;-;0;1;4;2;-;-;-;-;228361,5;-;0;0;0;-;-;-;-4,080585729;0;0;1087,144175
3043767;Herrn;N;54;0;1;2;1;-;-;-;-;34437,502;-;0;0;0;-;-;-;-2,208391608;0;0;329,35318694
3043809;Frau und Herrn;N;28;0;0;1;1;06.03.2018;29.01.2019;-;-;3378;-;0;0;0;-;-;-;3,4485;1;1;150,33054
3043825;Herrn;N;22;0;1;2;1;-;-;-;-;8222,456;2,08;0;0;0;-;-;-;-0,9575;0;0;171,67681592
3043841;Herrn;N;39;0;1;1;1;-;-;-;-;11632,841;-;0;0;0;-;-;-;-2,385714286;0;0;121,25640137
3043874;Frau und Herrn;N;21;1;0;2;1;-;-;-;-;9683,691;-;0;0;0;-;-;-;-0,588292683;0;0;188,36061687
3043882;Herrn;N;38;0;1;2;0;28.03.2019;28.03.2019;-;-;29210,037;-;0;0;0;-;-;-;-2,626326531;0;1;378,25878673
3043890;Frau;N;35;0;1;3;1;-;-;-;-;16938,485;965,84;0;0;0;-;-;-;4,853575758;1;0;187,94123045
3043916;Herrn;N;65;0;1;1;2;-;-;-;-;16860;-;0;0;0;-;-;-;-1;0;0;507,40326
3043924;Frau und Herrn;N;38;0;1;2;1;-;-;-;-;9933,222;-;0;0;0;-;-;-;-1;0;0;163,22495454
3043957;Herrn;N;41;0;1;1;1;-;-;-;-;696;-;0;0;0;1;0;18.11.2018;-3,713142857;0;0;41,52464
3044005;Frau und Frau;N;30;0;0;1;1;-;-;-;-;3169,2;-;0;0;0;-;-;-;-2,271818182;0;0;133,255628
3044047;Frau und Herrn;N;-;0;0;6;1;07.06.2018;30.06.2019;-;-;47316,2;2,5;0;0;0;-;-;-;-1;0;1;791,839008
3044047;Frau und Herrn;N;-;0;0;6;1;07.06.2018;30.06.2019;-;-;47316,2;8;0;0;0;-;-;-;-1;0;1;791,839008
3044047;Frau und Herrn;N;-;0;0;6;1;07.06.2018;30.06.2019;-;-;47316,2;19,21;0;0;0;-;-;-;-1;0;1;791,839008
