ID_caperpin;Title;Client_type;Age;Flag_e-mail_deposited;Flag_mobile_deposited;Number_contractual_relationships;Customer_for_years;Minimum_contract_term;Maximum_contract_term;Credit_rating_score;Credit_rating_traffic_light;Total_consumption;Open_item_amount;Flag_advertising_permission_e-mail;Flag_advertising_permission_post;Flag_advertising_permission_telephone;OptIn_data_protection_regulations;OptIn_newsletter;Vorteilswelt_customer_since;Factor_subsequent_payment;Flag_invoice_shock;Sum_contribution_margin_2
344593;Frau;N;36;0;1;3;2;-;-;0;grün;27442,127;-;0;0;0;-;-;-;-1;0;371,91343819
344595;Herrn;N;-;0;1;2;4;-;-;-;-;2269,3;21,6;0;0;0;-;-;-;-4,409347826;0;78,230937
344595;Herrn;N;-;0;1;2;4;-;-;-;-;2269,3;46;0;0;0;-;-;-;-4,409347826;0;78,230937
344597;Herrn;N;52;0;1;2;4;-;-;-;-;53374,987;-;0;0;0;-;-;-;-0,994754829;0;1098,93611239
344601;Herrn;N;27;0;1;1;0;-;-;-;-;3500;-;0;0;0;-;-;-;-1;0;124,525
344604;Herrn;N;43;0;1;2;4;-;-;-;-;25860,063;-;0;0;0;-;-;-;-1,900781759;0;376,68984111
344606;Frau;N;64;0;1;1;4;-;-;0;n/a;1963;2,5;0;0;0;-;-;-;-1;0;88,51767
344606;Frau;N;64;0;1;1;4;-;-;0;n/a;1963;58;0;0;0;-;-;-;-1;0;88,51767
344609;Herrn;N;31;0;0;2;3;-;-;-;-;5126,156;-;0;0;0;-;-;-;-1;0;119,84271272
344611;Herrn;N;33;0;1;2;4;-;-;-;-;10560,556;-;0;0;0;-;-;-;-1;0;150,68042492
344616;Herrn;N;42;1;0;1;4;-;-;-;-;2016,9;-;0;0;0;1;1;21.11.2018;-3,666842105;0;59,356271
344617;Herrn;N;39;0;1;2;4;-;-;-;-;3692;2,5;0;0;0;-;-;-;-1;0;146,78228
344617;Herrn;N;39;0;1;2;4;-;-;-;-;3692;108;0;0;0;-;-;-;-1;0;146,78228
344618;Frau;N;30;0;1;2;0;19.09.2019;19.09.2019;-;-;4572,57;1,94;0;0;0;-;-;-;-1;0;291,8395634
